Armor,Book,Bonus,Check,Speed,Type,Level,Quality,Category,Fort,Ref,Will,DR,,,,,,,,
Anathema,AV,3,0,0,Leather,21,4,Light,,1,,,,,,,,,,
Braidmail,AV,8,-1,-1,Chain,11,2,Heavy,,,,,,,,,,,,
Chainmail,PHB,6,-1,-1,Chain,1,0,Heavy,,,,,,,,,,,,
Cloth,PHB,0,0,0,Cloth,1,0,Light,,,,,,,,,,,,
Crysteel,AV,8,-1,-1,Chain,16,3,Heavy,,,2,,,,,,,,,
Darkhide,PHB,4,-1,0,Hide,16,3,Light,,,,,,,,,,,,
Drakescale,AV,8,0,-1,Scale,6,1,Heavy,,,,,,,,,,,,
Drowmesh,AV,2,0,0,Leather,11,2,Light,,1,,,,,,,,,,
Earthhide,AV,3,-1,0,Hide,11,2,Light,1,,,,,,,,,,,
Efreetweave,AV,1,0,0,Cloth,21,4,Light,,,1,,,,,,,,,
Elderhide,PHB,5,-1,0,Hide,26,5,Light,,,,,,,,,,,,
Elderscale,PHB,13,0,-1,Scale,26,5,Heavy,,,,,,,,,,,,
Feyhide,AV,3,-1,0,Hide,16,3,Light,2,,,,,,,,,,,
Feyleather,PHB,3,0,0,Leather,16,3,Light,,,,,,,,,,,,
Feyweave,PHB,1,0,0,Cloth,16,3,Light,,,,,,,,,,,,
Finemail,AV,7,-1,-1,Chain,6,1,Heavy,,,,,,,,,,,,
Forgemail,PHB,9,-1,-1,Chain,16,3,Heavy,,,,,,,,,,,,
Gith plate,AV,10,-2,-1,Plate,11,2,Heavy,,,,,,,,,,,,
Githweave,AV,0,0,0,Cloth,11,2,Light,,,1,,,,,,,,,
Godplate,PHB,14,-2,-1,Plate,26,5,Heavy,,,,,,,,,,,,
Hide,PHB,3,-1,0,Hide,1,0,Light,,,,,,,,,,,,
Layered plate,AV,9,-2,-1,Plate,6,1,Heavy,,,,,,,,,,,,
Leather,PHB,2,0,0,Leather,1,0,Light,,,,,,,,,,,,
Legion plate,AV,12,-2,-1,Plate,21,4,Heavy,,,,,,,,,,,,
Mindpatterned,AV,1,0,0,Cloth,26,5,Light,,,2,,,,,,,,,
Mindweave,AV,0,0,0,Cloth,16,3,Light,,,2,,,,,,,,,
Nagascale,AV,11,0,-1,Scale,21,4,Heavy,1,,,,,,,,,,,
Pitmail,AV,11,-1,-1,Chain,26,5,Heavy,,,2,,,,,,,,,
Plate,PHB,8,-2,-1,Plate,1,0,Heavy,,,,,,,,,,,,
Rimefire plate,AV,8,-2,-1,Plate,6,1,Heavy,,,,1,,,,,,,,
Scale,PHB,7,0,-1,Scale,1,0,Heavy,,,,,,,,,,,,
Snakeskin,AV,2,0,0,Leather,16,3,Light,,2,,,,,,,,,,
Specter plate,AV,10,-2,-1,Plate,16,3,Heavy,,,,2,,,,,,,,
Spiritmail,PHB,12,-1,-1,Chain,26,5,Heavy,,,,,,,,,,,,
Stalkerhide,AV,4,-1,0,Hide,21,4,Light,1,,,,,,,,,,,
Starleather,PHB,4,0,0,Leather,26,5,Light,,,,,,,,,,,,
Starweave,PHB,2,0,0,Cloth,26,5,Light,,,,,,,,,,,,
Stormscale,AV,9,0,-1,Scale,16,3,Heavy,,,,,,,,,,,,
Swordwing,AV,3,0,0,Leather,26,5,Light,2,2,,,,,,,,,,
