Power Name,Book,Class,Level,Versus,WepMult,Dice,WepMult21,DamType1,DamType2,Extra,Melee,,,,
Body Equilibrium,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Bogtangle Dart,DRMZ,Any,1,AC,1,w,2,,,,FALSE,,,,
Far Hearing,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Know Direction,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Mental Tools,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Net Snare,DRMZ,Any,1,AC,1,w,2,,,,TRUE,,,,
Object Projection,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Psionic Image,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Psionic Spark,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Sensing Eye,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Sunspray Dance,DRMZ,Any,1,AC,1,w,2,,,,TRUE,,,,
Telekinetic Grasp,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Thought Projection,DSCS,Any,1,,,,,,,WT,FALSE,,,,
Wolfstone Frenzy,DRMZ,Any,1,AC,1,w,2,,,,TRUE,,,,
Unnerving Suggestion,DSCS,Any,3,WILL,1,8,1,,,,FALSE,,,,
Cruel Decree,DSCS,Any,7,WILL,2,6,2,,,,FALSE,,,,
Unnerving Suggestion,DSCS,Any,13,WILL,2,8,2,,,,FALSE,,,,
Cruel Decree,DSCS,Any,17,WILL,3,6,3,,,,FALSE,,,,
Unnerving Suggestion,DSCS,Any,23,WILL,3,8,3,,,,FALSE,,,,
Cruel Decree,DSCS,Any,27,WILL,4,6,4,,,,FALSE,,,,
Demoralizing Strike,PHB3,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Energizing Strike,PHB3,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Focusing Strike,PHB3,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Impetuous Ruin,PsP,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Intent Laid Bare,DRMZ,Ardent,1,AC,1,w,1,,,,TRUE,,,,
Ire Strike,PHB3,Ardent,1,,0,w,0,,,Ally attack,FALSE,,,,
