Power Name,Book,Class,Level,
Blunt Force Strike,DSCS,Any,5,
Draining Poison,DSCS,Any,5,
Glare of Oppression,DSCS,Any,5,
Imperious Torture,DSCS,Any,5,
Infuriating Challenge,DSCS,Any,5,
Nomad's Pursuit,DSCS,Any,5,
Psionic Shelter,DSCS,Any,5,
Psychic Veil,DSCS,Any,5,
Storm of Debris,DSCS,Any,5,
Turn the Tables,DRMZ,Any,5,
Vengeful Elementals,DSCS,Any,5,
Righteous Intolerance,DRMZ,Any,8,
Shining Purpose,DRMZ,Any,8,
Bloody Blades,DSCS,Any,9,
Chaotic Thoughts,DSCS,Any,9,
Face of Defeat,DSCS,Any,9,
Hounding Presence,DSCS,Any,9,
Imperious Glare,DSCS,Any,9,
Insidious Poison,DSCS,Any,9,
Monstrous Savagery,DSCS,Any,9,
Of Wood and Stone,DSCS,Any,9,
Primordial Retribution,DSCS,Any,9,
Sequestering Veil,DSCS,Any,9,
Who is Master Now,DSCS,Any,9,
Binding Cahulaks,DSCS,Any,10,
Entangling Whip,DSCS,Any,10,
Furious Dragon Assault,DSCS,Any,10,
Gathering of Shadows,DRMZ,Any,10,
Gouge Pin,DSCS,Any,10,
Guileful Swipe,DRMZ,Any,10,
Gythka Arc Slam,DSCS,Any,10,
Net Trap,DSCS,Any,10,
Opportunistic Swipe,DRMZ,Any,10,
Whirling Lotulis,DSCS,Any,10,
Zadatl Control,DRMZ,Any,10,
Blunt Force Strike,DSCS,Any,15,
Draining Poison,DSCS,Any,15,
Glare of Oppression,DSCS,Any,15,
Imperious Torture,DSCS,Any,15,
Infuriating Challenge,DSCS,Any,15,
Nomad's Pursuit,DSCS,Any,15,
Psionic Shelter,DSCS,Any,15,
Psychic Veil,DSCS,Any,15,
Storm of Debris,DSCS,Any,15,
Turn the Tables,DRMZ,Any,15,
Vengeful Elementals,DSCS,Any,15,
Bloody Blades,DSCS,Any,19,
Chaotic Thoughts,DSCS,Any,19,
Face of Defeat,DSCS,Any,19,
Hounding Presence,DSCS,Any,19,
Imperious Glare,DSCS,Any,19,
Insidious Poison,DSCS,Any,19,
Monstrous Savagery,DSCS,Any,19,
Of Wood and Stone,DSCS,Any,19,
Primordial Retribution,DSCS,Any,19,
Sequestering Veil,DSCS,Any,19,
Who is Master Now,DRMZ,Any,19,
Blunt Force Strike,DSCS,Any,25,
Draining Poison,DSCS,Any,25,
Glare of Oppression,DSCS,Any,25,
Imperious Torture,DSCS,Any,25,
Infuriating Challenge,DSCS,Any,25,
Nomad's Pursuit,DSCS,Any,25,
Psionic Shelter,DSCS,Any,25,
Psychic Veil,DSCS,Any,25,
Storm of Debris,DSCS,Any,25,
Vengeful Elementals,DSCS,Any,25,
Turn the Tables,DRMZ,Any,25,
Bloody Blades,DSCS,Any,29,
Chaotic Thoughts,DSCS,Any,29,
Face of Defeat,DSCS,Any,29,
Hounding Presence,DSCS,Any,29,
Imperious Glare,DSCS,Any,29,
Insidious Poison,DSCS,Any,29,
Monstrous Savagery,DSCS,Any,29,
Of Wood and Stone,DSCS,Any,29,
Primordial Retribution,DSCS,Any,29,
Sequestering Veil,DSCS,Any,29,
Who is Master Now,DRMZ,Any,29,
Adrenaline Strike,PHB3,Ardent,1,
Battle Flow,PsP,Ardent,1,
Battleborn Acuity,PHB3,Ardent,1,
Foretaste of Death,PsP,Ardent,1,
Implanted Suggestion,PHB3,Ardent,1,
Lingering Fury,PsP,Ardent,1,
Mental Turmoil,PHB3,Ardent,1,
Recursive Emotions,PsP,Ardent,1,
Wormhole Plunge,PHB3,Ardent,1,
Decelerating Slash,PsP,Ardent,5,
Empowered Arsenal,PHB3,Ardent,5,
Enlightening Pulse,PHB3,Ardent,5,
Fate Exchange,PHB3,Ardent,5,
Invitation to Defeat,PsP,Ardent,5,
Meteoric Charge,PsP,Ardent,5,
Persistent Veil,PHB3,Ardent,5,
Specter of Doubt,PsP,Ardent,5,
Agony Field,PHB3,Ardent,9,
Cerebral Worm,PsP,Ardent,9,
Dulled Reflexes,PHB3,Ardent,9,
Emotional Wellspring,PsP,Ardent,9,
Feast of Despair,PHB3,Ardent,9,
Feast of Plenty,PHB3,Ardent,9,
Passage of Swords,PHB3,Ardent,9,
Spatial Anomaly,PsP,Ardent,9,
Spur the Battle,PsP,Ardent,9,
Aggressive Accompaniment,PsP,Ardent,15,
Bloody Resurgence,PsP,Ardent,15,
Coordinated Effort,PsP,Ardent,15,
Extermination Urge,PHB3,Ardent,15,
Imminent Demise,PHB3,Ardent,15,
Mountainfall Strike,PHB3,Ardent,15,
Treachery's Seed,PsP,Ardent,15,
Unchecked Aggression,PHB3,Ardent,15,
Vigorous Offensive,PHB3,Ardent,15,
Chains of Affinity,PHB3,Ardent,19,
Clarified Pain,PsP,Ardent,19,
Corridor of Pain,PsP,Ardent,19,
Deflecting Disk,PHB3,Ardent,19,
Mind Rend,PsP,Ardent,19,
Reactive Jaunt Strike,PsP,Ardent,19,
Shared Vigor,PHB3,Ardent,19,
Temporal Acceleration,PHB3,Ardent,19,
Vitality Transfer,PHB3,Ardent,19,
Blistering Aversion,PHB3,Ardent,25,
Bountiful Portent,PsP,Ardent,25,
Corona of Battle,PHB3,Ardent,25,
Intellect Bomb,PHB3,Ardent,25,
Inverted Emotions,PsP,Ardent,25,
Outpouring of Grief,PsP,Ardent,25,
Revealed Assets,PHB3,Ardent,25,
Summons to Doom,PHB3,Ardent,25,
Victorious Vision,PsP,Ardent,25,
Empathic Projection,PHB3,Ardent,29,
Explosive Summons,PsP,Ardent,29,
Image of Doom,PHB3,Ardent,29,
Lethal Delusion,PsP,Ardent,29,
Undeniable Weakness,PHB3,Ardent,29,
Violent Spark,PHB3,Ardent,29,
Vulnerability Revealed,PsP,Ardent,29,
Caustic Rampart,EPG,Artificer,1,
Fireburst Armor,DRMZ,Artificer,1,
Icebound Sigil,EPG,Artificer,1,
Life-Tapping Darts,EPG,Artificer,1,
Obedient Servant,EPG,Artificer,1,
War Proxy,DRMZ,Artificer,1,
Corrosive Sigil,EPG,Artificer,5,
Dancing Weapon,EPG,Artificer,5,
Flameheart Defender,EPG,Artificer,5,
Predatory Shards,EPG,Artificer,5,
Thunderclap Armor,DRMZ,Artificer,5,
Warweaver's Tether,DRMZ,Artificer,5,
Brittle-Skin Missile,EPG,Artificer,9,
Healer's Momentum,DRMZ,Artificer,9,
Lightning Motes,EPG,Artificer,9,
Radiant Sigil,EPG,Artificer,9,
Relentless Harrier,EPG,Artificer,9,
Static Shell,DRMZ,Artificer,9,
Animate Arbalester,EPG,Artificer,15,
Cockroach Swarm,EPG,Artificer,15,
Ice Archon's Armor,DRMZ,Artificer,15,
Lightning Sigil,EPG,Artificer,15,
Spellmaster's Pawn,DRMZ,Artificer,15,
Stalwart Defender,EPG,Artificer,15,
Burrowing Projectile,EPG,Artificer,19,
Clockwork Acid Wasp,EPG,Artificer,19,
Grasping Rope,EPG,Artificer,19,
Hellfire Sigil,EPG,Artificer,19,
Planestorm Anchor,DRMZ,Artificer,19,
Radiant Forcefield,DRMZ,Artificer,19,
All-Consuming Missile,EPG,Artificer,25,
Armor of Storms,DRMZ,Artificer,25,
Brittle Frost,DRMZ,Artificer,25,
Dimensional Shifter,EPG,Artificer,25,
Life-Shock Sigil,EPG,Artificer,25,
Trio of Biting Blades,EPG,Artificer,25,
Auramorphic Armor,DRMZ,Artificer,29,
Bitter-Frost Bolt,EPG,Artificer,29,
Haste Sigil,EPG,Artificer,29,
Runes of the Shadow Tendrils,EPG,Artificer,29,
Simulacrum,EPG,Artificer,29,
Tactical Detonation,DRMZ,Artificer,29,
Grave Splice,DRMZ,Assassin,1,
Strangling Shadow,DRMZ,Assassin,1,
Targeted for Death,DRMZ,Assassin,1,
Terrifying Visage,DRMZ,Assassin,1,
Heart of Dust,DRMZ,Assassin,5,
Shadow Soul,DRMZ,Assassin,5,
Treacherous Shades,DRMZ,Assassin,5,
Twilight Assassin,DRMZ,Assassin,5,
Black Garrote,DRMZ,Assassin,9,
Bound by Shadow,DRMZ,Assassin,9,
Obscuring Shadow,DRMZ,Assassin,9,
Wall of Shadows,DRMZ,Assassin,9,
Bleak Gallows,DRMZ,Assassin,15,
Blood Shadow,DRMZ,Assassin,15,
Death's Doorstep,DRMZ,Assassin,15,
Shade Venom,DRMZ,Assassin,15,
Sundered Shadow,DRMZ,Assassin,15,
Consign to Shadow,DRMZ,Assassin,19,
Executioner's Blade,DRMZ,Assassin,19,
Guild of Shadows,DRMZ,Assassin,19,
Murderous Shadow,DRMZ,Assassin,19,
