,,,
Power Name,Book,Class,Level
Armor of the Land,DSCS,Any,3
Bloodthirsty Elemental,DSCS,Any,3
Dazzling Flash,DSCS,Any,3
Delaying Strike,DSCS,Any,3
Fearsome Command,DSCS,Any,3
Fever Poison,DSCS,Any,3
Repel the Siege,DRMZ,Any,3
Savage Sweep,DSCS,Any,3
Stalking the Prey,DSCS,Any,3
Wildfire Bolt,DSCS,Any,3
Black Blade of Despair,DRMZ,Any,4
Dragon's Rebuke,DSCS,Any,4
Gouge Sweep,DSCS,Any,4
Gythka Claw Swoop,DSCS,Any,4
Hand of Justice,DRMZ,Any,4
Lotulis Flurry,DSCS,Any,4
Net Sweep,DSCS,Any,4
Pommel Strike,DRMZ,Any,4
Stolen Defenses,DRMZ,Any,4
Tripping Cahulaks,DSCS,Any,4
Whip Snare,DSCS,Any,4
Zadatl Grab,DRMZ,Any,4
Astonishing Wound,DRMZ,Any,7
Armor of Living Dunes,DSCS,Any,7
Crystal Spider Poison,DSCS,Any,7
Elemental Justice,DSCS,Any,7
Fettering Glare,DSCS,Any,7
Flensing Wind Strike,DSCS,Any,7
Mind Clash,DSCS,Any,7
Murderous Rampage,DSCS,Any,7
Sandman's Veil,DSCS,Any,7
Sly Gambit,DSCS,Any,7
Armor of the Land,DSCS,Any,13
Bloodthirsty Elemental,DSCS,Any,13
Dazzling Flash,DSCS,Any,13
Delaying Strike,DSCS,Any,13
Fearsome Command,DSCS,Any,13
Repel the Siege,DRMZ,Any,13
Fever Poison,DSCS,Any,13
Savage Sweep,DSCS,Any,13
Stalking the Prey,DSCS,Any,13
Wildfire Bolt,DSCS,Any,13
Armor of Living Dunes,DSCS,Any,17
Astonishing Wound,DRMZ,Any,17
Crystal Spider Poison,DSCS,Any,17
Elemental Justice,DSCS,Any,17
Fettering Glare,DSCS,Any,17
Flensing Wind Strike,DSCS,Any,17
Mind Clash,DSCS,Any,17
Murderous Rampage,DSCS,Any,17
Sandman's Veil,DSCS,Any,17
Sly Gambit,DSCS,Any,17
Armor of the Land,DSCS,Any,23
Bloodthirsty Elemental,DSCS,Any,23
Dazzling Flash,DSCS,Any,23
Delaying Strike,DSCS,Any,23
