Equipment,Gold,Silver,Copper,Weight,,
Arcane Signet Ring,150,,,,,
Adventurer's Kit,15,,,,,
Arrows,1,,,3,,
Backpack,2,,,2,,
Bedroll,,1,,5,,
Blowgun Needles ,1,,,,,
Cage (Huge),100,,,,,
Cage (Large),80,,,,,
Cage (Medium,50,,,,,
Cage (Small),20,,,,,
Camouflaged Clothing,30,,,4,,
Candle,,,1,,,
Cart or Wagon,20,,,2000,,
Chain 10',30,,,2,,
Chest,2,,,25,,
Climber's Kit,2,,,11,,
Crowbar,2,,,4,,
Crossbow Bolts,1,,,2,,
Desert Clothing,10,,,3,,
Disguise,10,,,6,,
Disguise Kit,30,,,5,,
Distillation Kit,50,,,20,,
Dowsing Rod,20,,,5,,
Everburning Torch,50,,,1,,
Filter Mask,1,,,,,
Fine Clothing,30,,,6,,
Fire Kit,1,,,,,
Flask,,,3,1,,
Flint & Steel,1,,,,,
Footpads,5,,,,,
Glass Cutter,25,,,5,,
Grappling Hook,1,,,4,,
Hammer,,5,,2,,
Heavy Shield,10,,,15,,
Holy Symbol,10,,,1,,
Hunter's Kit,50,,,5,,
"Identification Papers, Standard",2,,,,,
"Identification Papers, with Portrait",5,,,,,
Inquisitive's Kit,40,,,4,,
Journeybread,50,,,1,,
Lantern,7,,,2,,
Letter of Marque,500,,,,,
Light Shield,5,,,6,,
Oil,,1,,1,,
Orb,15,,,2,,
Pitons (10),,5,,5,,
"Pouch, Belt",1,,,0.5,,
"Rations, Trail",5,,,10,,
Riding Horse,75,,,,,
Ritual Book,50,,,3,,
Rod,12,,,2,,
"Rope, Giant Hair",10,,,10,,
"Rope, Hempen 50'",1,,,10,,
"Rope, Silk 50'",,,,5,,
Rowboat,50,,,600,,
Sailing Ship,10000,,,,,
Sling Bullets,1,,,5,,
Spellbook,50,,,3,,
Spellshard,100,,,0.5,,
Staff,5,,,4,,
Standard Adventurer's Kit,15,,,33,,
Sun Balm,50,,,1,,
Sunrods,4,,,2,,
Survival Day,5,,,8,,
Tent,10,,,20,,
Thieves' Tools,20,,,1,,
Torch,,1,,1,,
Traveling Papers,,2,,,,
Wand,7,,,,,
Warhorse,680,,,,,
Waterskin,1,,,4,,
