Feat,Description,Book,Str,Con,Dex,Int,Wis,Cha,Level,Race,Race2,Class,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Initiative,Speed,Surge Value,AC,Fortitude,Reflex,Will
Acolyte Power,Swap utility power with one of multiclass,PHB,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action Recovery,Extra saving throw by spending action point,PHB,,,,,,,11,Human,Half-Elf,,,,,,,,,,,,,,,,,,,,,,,,,
Action Surge,+3 to attacks when you spend an action point,PHB,,,,,,,,Human,Half-Elf,,,,,,,,,,,,,,,,,,,,,,,,,
Adept Power,Swap daily power with one of multiclass,PHB,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Athlete,Roll twice with Acrobatics & Athletics,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agile Hunter,Shift after scoring a critical hit,PHB,,,15,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Alertness,"No combat advantage when surprised, +2 Perception",PHB,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
Arcane Initiate,Multiclass Wizard,PHB,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Mastery,Regain Daily spell with action point,PHB,,,,,,,21,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Arcane Reach,Choose square within 2 as origin for close attack ,PHB,,,15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor of Bahamut,Use C.Divinity to invoke Armor of Bahamut,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Proficiency Chain,Removes non-proficient penalty,PHB,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Proficiency Leather,Removes non-proficient penalty,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Proficiency Hide,Removes non-proficient penalty,PHB,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Proficiency Plate,Removes non-proficient penalty,PHB,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Proficiency Scale,Removes non-proficient penalty,PHB,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Specialization Chain,"+1 AC Chain, reduce check penalty by 1",PHB,,,15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Armor Specialization Hide,"+1 AC Hide, reduce check penalty by 1",PHB,,15,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Armor Specialization Plate,+1 AC Plate,PHB,,15,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Armor Specialization Scale,"+1 AC Scale, negates speed penalty",PHB,,,15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Astral Fire,+1 damage with fire or radiant power,PHB,,,13,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avandra's Rescue,Use C.Divinity to invoke Avandra's Rescue,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axe Mastery,Axe critical hit with 19 or 20,PHB,21,17,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to the Wall,"+1 attack, damage, AC when adjacent to wall",PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Backstabber,Sneak Attack with d8's,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade Opportunist,+2 opportunity attack w/H Blade or L Blade,PHB,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blade Initiate,Multiclass Swordmage,FR,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind-Fight,Adjacent creatures aren't concealed or invisible,PHB,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Thirst,+2 damage against bloodied foes,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bludgeon Mastery,Bludgeoning critical hit with 19 or 20,PHB,19,19,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burning Blizzard,+1 damage with acid or cold power,PHB,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combat Anticipation,"+1 defense vs ranged, area, close attacks",PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combat Commander,Combat Leader bonus = Cha or Int Mod,PHB,,,,,,,11,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Combat Reflexes,+1 to opportunity attacks,PHB,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corellon's Grace,Use C.Divinity to invoke Corellon's Grace,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danger Sense,"Roll twice for initiative, use higer result",PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark Fury,+1 damage with necrotic or psychic power,PHB,,13,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadly Axe,All axes are high crit weapons,PHB,17,13,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Advantage,+2 AC when you have combat advantage,PHB,,,17,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Mobility,+2 AC against opportunity attacks,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devastating Critical,+1d10 on critical hits,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distant Shot,Ignore -2 penalty for long range,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distracting Shield,Target -2 to attack when hit by opportunity attacks,PHB,,,,,15,,,,,Fighter,,,,,,,,,,,,,,,,,,,,,,,,
Dodge Giants,+1 AC vs Large or larger foes,PHB,,,,,,,,Dwarf,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonborn Frenzy,+2 damage when bloodied,PHB,,,,,,,,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonborn Sense,"low-light vision, +1 Perception",PHB,,,,,,,,Dragonborn,,,,,,,,,,,,,,,0,,,,,,,,,,,
Durable,Increase Surges by 2,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Durability,"Increase surges, surge value",PHB,,,,,,,11,Dwarf,,,0,,,,,,,,,,,,,,,,,,,,,,,
Dwarven Weapon Training,+2 damage & proficiency w/Axes & Hammers,PHB,,,,,,,,Dwarf,,,,,,,,,,,,,,,,,,,,,,,,,,
Eladrin Soldier,+2 damage & proficiency w/Longswords & Spears,PHB,,,,,,,,Eladrin,,,,,,,,,,,,,,,,,,,,,,,,,,
Elven Precision,+2 reroll with elven accuracy,PHB,,,,,,,,Elf,Half-elf,,,,,,,,,,,,,,,,,,,,,,,,,
Empowered Dragon Breath,Dragon Breath uses d10s,PHB,,,,,,,11,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Enlarged Dragon Breath,Dragon breath becomes blast 5,PHB,,,,,,,,Dragonborn,,,,,,,,,,,,,,,,,,,,,,,,,,
Epic Resurgence,Regain Encounter Attack Power on critical hit,PHB,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escape Artist,"Escape grab as minor, +2 Acrobatics",PHB,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Evasion,no damage from missed area or close attack AC/Ref,PHB,,,15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expanded Spellbook,Add additional Daily to spellbook,PHB,,,,,13,,,,,Wizard,,,,,,,,,,,,,,,,,,,,,,,,
Far Shot,increase projectile range by 5,PHB,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Far Throw,increase thrown range by 2,PHB,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Runner,+2 speed when charging/running,PHB,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferocious Rebuke,Push 1 with Infernal Wrath,PHB,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Feywild Protection,+2 defenses when using Fey Step,PHB,,,,,,,11,Eladrin,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiery Rebuke,Infernal Wrath target takes 5 extra fire damage,PHB,,,,,,,11,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Flail Mastery,Flail critical hit with 19 or 20,PHB,19,19,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flanking Maneuver,Move diagonally & through enemy spaces,PHB,,,17,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleet-Footed,+1 Speed,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Font of Radiance,Target illuminated with critical hit takes radiant damage,PHB,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Fortitude,+2 Fortitude,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
Group Insight,Grants allies +1 Insight & Initiative,PHB,,,,,,,,Half-elf,,,,,,,,,,,,,,,,,,,,,,,,,,
Halfling Agility,-2 to second chance reroll,PHB,,,,,,,,Halfling,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammer Rhythm,"Damage with hammer, mace on miss",PHB,15,17,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmony of Erathis,Use C.Divinity to invoke Harmony of Erathis,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Hands,Add Cha Mod to lay on hands,PHB,,,,,,,,,,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Blade Mastery,Heavy Blade critical hit with 19 or 20,PHB,21,,17,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heavy Blade Opportunity,Use At-Will with opportunity attack,PHB,15,,15,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hellfire Blood,+1 attack/damage with fire/fear powers,PHB,,,,,,,,Tiefling,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Perseverance,+1 saving throws,PHB,,,,,,,,Human,Half-elf,,,,,,,,,,,,,,,,,,,,,,,,,
Improved Dark One's Blessing,3 more temp hit points,PHB,,15,,,,,,,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Improved Fate of the Void,additional +1 to die roll,PHB,,,,,,,,,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Improved Initiative,+4 Initiative,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
Improved Misty Step,additional 2 teleport,PHB,,,,13,,,,,,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
Improved Second Wind,Heal 5 extra with Second Wind,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inescapable Force,"Force powers ignore insubstantial, extra damage",PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiate of the Faith,Multiclass Cleric,PHB,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspired Recovery,Grant ally save with Cha Mod bonus,PHB,,,,,,,,,,Warlord,,,,,,,,,,,,,,,,,,,,,,,,
Ioun's Poise,Use C.Divinity to invoke Ioun's Poise ,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron Will,+2 Will,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Irresistible Flame,Reduce target's resist fire by 20,PHB,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack of All Trades,+2 untrained skill checks,PHB,,,,13,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
Kord's Favor,Use C.Divinity to invoke Kord's Favor ,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasting Frost,First target hit with cold power gains vulnerable 5 cold,PHB,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lethal Hunter,Hunter's Quarry uses d8's,PHB,,,,,,,,,,Ranger,,,,,,,,,,,,,,,,,,,,,,,,
Light Blade Mastery,Light Blade critical hit with 19 or 20,PHB,17,,21,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Blade Precision,+2 damage vs Larger or larger targets,PHB,,,13,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
