Implement,Level,Book,Bonus,Type,Superior Feat,SI Prop 1,SI Prop 2,Energized Type,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Speed,Initiative,Surges,Surge Val,Fortitude,Reflex,Will,AC,Strength,Dexterity,Wisdom,Ranged,Melee
Equipped Weapon,1,PHB,1,Weapon,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Holy Symbol,1,PHB,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Ki Focus,1,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Orb,1,PHB,1,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Rod,1,PHB,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Staff,1,PHB,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Tome,1,AP,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Totem,1,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Wand,1,PHB,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abduction Ki Focus,4,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Dagger,4,DRMZ,1,Weapon,#REF!,Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Ki Focus,1,PsP,1,Focus,#REF!,Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Orb,1,PHB3,1,Orb,#REF!,Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Rod,1,PHB3,1,Rod,#REF!,Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Staff,1,PHB3,1,Staff,#REF!,Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Symbol,1,PHB3,1,Symbol,#REF!,Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Totem,1,PHB3,1,Totem,#REF!,Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accurate Wand,1,PHB3,1,Wand,#REF!,Accurate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adamantine Rod,14,AV,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anarusi Codex,10,DUMZ,2,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anstruth Harp,23,PHB2,5,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architect's Staff,5,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkhosian Scepter,12,PHRD,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashen Rod,1,PHB3,1,Rod,#REF!,Energized,Unerring,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assured Wand of Frostburn,14,AV,3,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assured Wand of Howl of Doom,14,AV,3,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astral Redoubt Totem,4,DRMZ,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astral Symbol,1,PHB3,1,Symbol,#REF!,Distant,Energized,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Harvest Totem,2,PHB2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalache's Wake Totem,19,AV2,4,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avenging Ash Totem,2,EPG,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aversion Staff,2,PHB3,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle-Pact Rod,18,AV2,4,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Staff,4,EPG,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Feather of the Raven Queen,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastwarp Staff,10,AV2,2,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blazing Arc Ki Focus,3,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodcurse Rod,4,AV,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhunter Totem,5,AV2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodiron Rod,14,AV,3,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blurred Strike Ki Focus,5,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boar's Charge Totem,3,AV2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bones of the Traveler,8,EPG,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book of Undeniable Fire,5,AP,1,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Jewel of il-Yannah,3,EPG,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzewood Coils Totem,13,AV2,3,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canaith Mandolin,17,PHB2,4,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascading Strikes Ki Focus,3,PsP,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Certainty of Death Ki Focus,3,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Champion's Symbol,15,AV2,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Shard Rod,5,DUMZ,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Shard Staff,5,DUMZ,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Shard Wand,5,DUMZ,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinder Wand,1,PHB3,1,Wand,#REF!,Empowered Crit,Energized,Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cli Lyre,12,PHB2,3,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clutch of Lolth,12,DRMZ,3,Orb,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cog of Erathis,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobra Strike Ki Focus,2,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confounding Tome,28,AV2,6,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convert's Symbol,13,AV2,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crashing Tide Ki Focus,8,PsP,2,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crook of Remembrance,18,DRMZ,4,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Orb,1,PHB3,1,Orb,#REF!,Energized,Undeniable,Psychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cup of Death Ki Focus,3,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursing Wand,14,AV2,3,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darkspiral Rod,4,AV2,1,Rod,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deathbone Rod,1,PHB3,1,Rod,#REF!,Energized,Undeniable,Necrotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Fang Totem,3,AV2,1,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Shroud Ki Focus,3,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Strike Ki Focus,3,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deck of Spells,14,AV2,3,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defensive Staff,2,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defiant Rod,1,PHB3,1,Rod,#REF!,Energized,Shielding,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destiny Staff,25,AV,5,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Wand,4,AV2,1,Wand,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dire Totem,10,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dispelling Tome,7,AV2,2,Tome,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domino of Olladra,10,EPG,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doss Lute,7,PHB2,2,Instrument,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonscale of Bahamut,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragontooth Wand,1,PHB3,1,Wand,#REF!,Deadly,Unerring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthfall Totem,7,AV2,2,Totem,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthroot Staff,3,AV,1,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthshaker Staff,14,DUMZ,3,Staff,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echo Tome,1,PHB3,1,Tome,#REF!,Distant,Unerring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elusive Action Ki Focus,4,PHB3,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emblem of Dol Dorn,3,EPG,1,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Flame Ki Focus,2,DRMZ,1,Focus,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye of Ioun,8,AV,2,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farseeing Totem,1,PHB3,1,Totem,#REF!,Deadly,Distant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearcatcher,15,DRMZ,3,Symbol,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
