Magic Armor,Level,Bonus,Book,Any,Cloth,Leather,Hide,Chain,Scale,Plate,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,
Adamantine Plating,4,1,EPG,,,,,,,1,,,,,,,,,,,,,,,,,,
Addergrease,3,1,AV,,,1,1,,,,,,,,,,,,,,,,,,,,,
Agile,5,1,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Agile Resolve Vestments,2,1,PHB2,,1,,,,,,,,,,,,,,,,,,,,,,,
Alchemical Defense Nodes,5,1,DRMZ,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Anakore,4,1,DRMZ,,,1,1,,1,,,,,,,,,,,,,,,,,,,
Anchoring,17,4,PsP,,,,,,,1,,,,,,,,,,,,,,,,,,
Angelsteel,19,4,PHB,,,,,1,,,,,,,,,,,,,,,,,,,,
Aqueous,14,3,AV,,1,1,1,,,,,,,,,,,,,,,,,,,,,
Armor of Adaptable Resistance,4,1,PsP,,,,1,1,,,,,,,,,,,,,,,,,,,,
Armor of Aegis Expansion,2,1,AV2,,1,1,,,,,,,,,,,,,,,,,,,,,,
Armor of Attraction,14,3,AV,,,,,,1,1,,,,,,,,,,,,,,,,,,
Armor of Cleansing,3,1,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Armor of Dark Deeds,14,3,AV2,,,1,1,,,,,,,,,,,,,,,,,,,,,
Armor of Dark Majesty,4,1,DRMZ,,,1,1,,,,,,,0,,,,,,,0,,,,,,,
Armor of Durability,4,1,AV,,,,1,1,1,1,,,,,,,,,,,,,,,,,,
Armor of Dwarven Vigor,2,1,AV2,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Armor of Enduring Health,23,5,AV2,,,,1,1,,,,,,,,,,,,,,,,,,,,
Armor of Essence Inviolate,13,3,AV2,1,,,,,,,,,,,,,,,,,,,,,,,,
Armor of Exploits,3,1,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Armor of Eyes,2,1,PHB3,,,,,,1,1,,,,,,,,,,,,,2,,,,,
Armor of Negation,15,3,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Armor of Night,14,3,AV,,1,1,,,,,,,,,,,,,,,,,,,,,,
Armor of Resistance,2,1,AV,1,,,,,,,,,,,,,,,,,,,,,,,,
Armor of Sacrifice,5,1,AV,,,,,1,1,1,,,,,,,,,,,,,,,,,,
Armor of Shared Health,30,6,AV2,,,,,1,,,,,,,,,,,,,,,,,,,,
Armor of Shared Valor,15,3,AV2,,,1,,1,,,,,,,,,,,,,,,,,,,,
