Slot,Item,Level,Book,Enh,Acrobatics,Arcana,Athletics,Bluff,Diplomacy,Dungeoneering,Endurance,Heal,History,Insight,Intimidate,Nature,Perception,Religion,Stealth,Streetwise,Thievery,Speed,Initiative,Surges,Surge Val,Fortitude,Reflex,Will,AC,Strength,Dexterity,Wisdom,Ranged,Melee,Weapon
Feet,Acrobat Boots,2,PHB,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Airstriders,25,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Anklets of Opportunity,19,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Assassin's Slippers,11,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Assault Boots,12,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Avalanche Boots,10,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Backtrack Bindings,24,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Battlestrider Greaves,12,PHB,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,
Feet,Boarding Boots,8,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Adept Charging,2,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Balance,22,PHB,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Blood,16,AV2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Feet,Boots of Bounding,6,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Caiphon,24,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Dancing,11,AV,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Feet,Boots of Eagerness,9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Equilibrium,6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Free Movement,6,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Furious Speed,9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Grounding,8,MOTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Jaunting,2,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Many Tracks,9,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Quickness (H),8,AV,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Feet,Boots of Quickness (P),18,AV,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Feet,Boots of Quickness (E),28,AV,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Feet,Boots of Rapid Motion,5,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Resolute Reflexes,15,PsP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Feet,Boots of Sand and Sea,10,AV,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,
Feet,Boots of Speed,22,AV,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
Feet,Boots of Spider Climbing,5,PHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Stealth (H),3,AV,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Feet,Boots of Stealth (P),13,AV,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Feet,Boots of Stealth (E),23,AV,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,
Feet,Boots of Striding,9,PHB,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,
Feet,Boots of Striding and Springing,14,PHB,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,
Feet,Boots of Surging Speed,7,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Swimming,13,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Teleportation,28,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of the Dryad,5,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of the Giantkind,9,DRMZ,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of the Fencing Master,7,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of the Infinite Stride,28,PHB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Feet,Boots of the Mighty Charge,10,DRMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feet,Boots of Unchecked Passage,12,AV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
