Magic Weapon,Level,Book,Bonus,Any,Melee,Ranged,Thrown,Axe,Bow,Crossbow,Flail,Hammer,Heavy blade,Light blade,Mace,Pick,Polearm,Sling,Spear,Staff,Hand crossbow,Dagger,Greatsword,Longsword,Sickle,Spiked gauntlet,Scourge,Triple-Headed Flail,Whip
Acidic,4,AV,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,,
Adamantine,8,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Aegis,3,AV2,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Aggressive,8,PsP,2,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
Aftershock,2,AV2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Alfsair,3,AV2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
Anathema,3,PHB3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Anointed,3,DRMZ,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
Answerer,20,DRMZ,4,,,,,,,,,,1,,,,,,,,,,,,,,,,
Armblade,2,EPG,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Armbow,3,DRMZ,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Armbow,3,EPG,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
Assassin's,8,AV,2,,,,,,,,,,,1,,,,,,,,,,,,,,,
Aura Killer,3,AV2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Avalanche,4,AV2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
Avandra's Whisper,17,AV,4,,,,,,,,,,,1,,,,,,,,,,,,,,,
Banishing,14,AV2,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Bard's Songblade,1,DRMZ,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Bard's Songbow,1,DRMZ,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Battering,11,AV,3,,,,,,,,,1,,,,,,,,,,,,,,,,,
Battlecrazed,4,AV,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Battlemaster's,14,AV,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Battle Spirit,15,AV2,3,,,,,1,,,1,1,1,,1,,,,1,,,,,,,,,,
Berserker,10,PHB,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Bilethorn,14,AV,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Blackshroud,10,AV,2,,,,,1,,,,,1,1,,,,,,,,,,,,,,,
Blacksmelt,11,AV,3,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
Blade of Bahamut,19,AV,4,,,,,,,,,,1,,,,,,,,,,,,,,,,
Blade of Night,17,AV,4,,,,,,,,,,,1,,,,,,,,,,,,,,,
Bloodclaw,2,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Blood Drinker,9,AV2,2,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Blood Fury,3,AV2,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,
Blood Harvest,8,AV2,2,,,,,,,,,,,1,,,,,,,,,,,,,,,
Blood Maul,7,DRMZ,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Blood Obsidian,5,DSCS,1,,,,,1,,,,,1,1,,,,,1,,,,,,,,,,
Bloodiron,13,AV,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodletting,14,PHRD,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
Bloodthirsty,13,AV,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Bolstering,13,PsP,3,,,,,,,,,,1,,,,,,1,,,,,,,,,,
Boltshard,7,AV2,2,,,,,,,1,,,,,,,,,,,,,,,,,,,
Bradaman's,13,AV2,3,,,,,1,,,,1,1,,,,,,,,,,,,,,,,
Brilliant Energy,25,AV,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzewood,8,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Carnage,3,DSCS,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,
Cavern Explorer's,3,DRMZ,1,,,,,1,,,,1,,,,,,,1,1,,,,,,,,,
Chainreach,5,DRMZ,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Challenge-Seeking,1,AV2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Weave,13,AV,3,1,,,,,,,,,,,,,,,,,,,,,,,,,
Chieftain's,3,DRMZ,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Chill Wind,15,DRMZ,3,,,,,,,,,,1,,,,,,,,,,,,,,,,
Cloaked,8,AV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Iron,8,AV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Communal,4,AV,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
Controlling,8,AV,2,,,,,,,,,,,,,,1,,,,,,,,,,,,
Coverbreaker,13,DRMZ,3,,,1,,,,,,,,,,,,,,,,,,,,,,,
Crusader's,9,AV,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Crushing,9,DRMZ,2,,,,,1,,,,1,,,,1,,,,,,,,,,,,,
Cunning,8,AV,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
Dancing,20,PHB,4,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Dazzling,15,DRMZ,3,,,,,1,,,,1,1,,,,,,,,,,,,,,,,
Deadstone,2,DUMZ,1,,,,,,,,,1,1,,1,,,,,,,,,,,,,,
Death Mark,23,AV2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,
Deathstalker,4,AV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Decerebrating,8,AV,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Deep Impact,14,DRMZ,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep Wounding,10,DRMZ,2,,,,,,,,,,1,,,,,,,,,,,,,,,,
Defensive,2,AV,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Demonbane,9,AV,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Demonslayer,9,MOTP,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Desiccating,13,AV,3,,1,,,,,,,,,,,,,,,,,,,,,,,,
Determined,8,AV,2,,,,1,,,,,,,,,,,,,,,,,,,,,,
Devilbind,7,DUMZ,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Devil's Tongue,7,DRMZ,2,,,,,,,,,,,,,,1,,,,,,,,,,,,
Dislocation,4,PHB3,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,
Disrupting,8,DRMZ,2,,,,,,,,1,1,,,1,,,,,,,,,,,,,,
Distance,1,AV,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Dragonscale,3,DRMZ,1,,,,,,,,,,,,,,,,,,,1,,,,,,,
Dragonslayer,9,PHB,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
