Name,Type,Class,Level,kind,,,,,,,
Acid Orb,At-Will,Sorcerer,1,attack,,,,,,,
Aggravating Force,At-Will,Artificer,1,attack,,,,,,,
Avenging Light,At-Will,Invoker,1,attack,,,,,,,
Bolstering Strike,At-Will,Paladin,1,attack,,,,,,,
Bond of Pursuit,At-Will,Avenger,1,attack,,,,,,,
Bond of Retribution,At-Will,Avenger,1,attack,,,,,,,
Booming Blade,At-Will,Swordmage,1,attack,,,,,,,
Burning Spray,At-Will,Sorcerer,1,attack,,,,,,,
Call of the beast,At-Will,Druid,1,attack,,,,,,,
Careful Attack,At-Will,Ranger,1,attack,,,,,,,
Chameleon,At-Will,Rogue,6,utility,,,,,,,
Chaos bolt,At-Will,Sorcerer,1,attack,,,,,,,
Chill Wind,At-Will,Druid,1,attack,,,,,,,
Cleave,At-Will,Fighter,1,attack,,,,,,,
Cloud of Daggers,At-Will,Wizard,1,attack,,,,,,,
Commander's Strike,At-Will,Warlord,1,attack,,,,,,,
Defending Strike,At-Will,Shaman,1,attack,,,,,,,
Deft Strike,At-Will,Rogue,1,attack,,,,,,,
Devastating strike,At-Will,Barbarian,1,attack,,,,,,,
Dire Radiance,At-Will,Warlock,1,attack,,,,,,,
Divine Bolts,At-Will,Invoker,1,attack,,,,,,,
Dragonfrost,At-Will,Sorcerer,1,attack,,,,,,,
Earth Shield Strike,At-Will,Warden,1,attack,,,,,,,
Eldritch Blast,At-Will,Warlock,1,attack,,,,,,,
Enfeebling Strike,At-Will,Paladin,1,attack,,,,,,,
Eyebite,At-Will,Warlock,1,attack,,,,,,,
Flame Seed,At-Will,Druid,1,attack,,,,,,,
Fleeting Ghost,At-Will,Rogue,2,utility,,,,,,,
Furious Smash,At-Will,Warlord,1,attack,,,,,,,
Grasping Claws,At-Will,Druid,1,attack,,,,,,,
Grasping Shards,At-Will,Invoker,1,attack,,,,,,,
Great Leap,At-Will,Rogue,2,utility,,,,,,,
Greenflame Blade,At-Will,Swordmage,1,attack,,,,,,,
Guiding Strike,At-Will,Bard,1,attack,,,,,,,
Haunting Spirits,At-Will,Shaman,1,attack,,,,,,,
Hellish Rebuke,At-Will,Warlock,1,attack,,,,,,,
Hit and Run,At-Will,Ranger,1,attack,,,,,,,
Holy Lantern,At-Will,Cleric,6,utility,,,,,,,
Holy Strike,At-Will,Paladin,1,attack,,,,,,,
Howling strike,At-Will,Barbarian,1,attack,,,,,,,
Illusory Ambush,At-Will,Wizard,1,attack,,,,,,,
Lance of Faith,At-Will,Cleric,1,attack,,,,,,,
Lightning Lure,At-Will,Swordmage,1,attack,,,,,,,
Magic Missile,At-Will,Wizard,1,attack,,,,,,,
Misdirected Mark,At-Will,Bard,1,attack,,,,,,,
Monkey's Grip,At-Will,Warden,16,utility,,,,,,,
Nimble Climb,At-Will,Rogue,6,utility,,,,,,,
