Name,Book,Class,Level,
Agile Recovery,PHB3,Any,2,
Anticipate Maneuver,PHB3,Any,2,
Arcane Mutterings,PHB3,Any,2,
Arcane Senses,PHB3,Any,2,
Battle Feint,PHB3,Any,2,
Bounding Leap,PHB3,Any,2,
City Rat,PHB3,Any,2,
Concealed Weapon,DSCS,Any,2,
Damning Memory,DRMZ,Any,2,
Deep Shadows,PHB3,Any,2,
Eldritch Tactics,DRMZ,Any,2,
Endure Pain,PHB3,Any,2,
Exemplar of Valor,DRMZ,Any,2,
Faith Healing,PHB3,Any,2,
False Bravado,PHB3,Any,2,
Far Sight,PHB3,Any,2,
Fast Hands,PHB3,Any,2,
Faulty Memory,DRMZ,Any,2,
Furious Demand,DRMZ,Any,2,
Go With the Flow,DSCS,Any,2,
Grit and Spittle,DRMZ,Any,2,
Healer's Gift,PHB3,Any,2,
Invigorating Presence,PHB3,Any,2,
Legend Lore,PHB3,Any,2,
Lock Tap,PHB3,Any,2,
Lone Resolve,DSCS,Any,2,
Mounted Coordination,PHB3,Any,2,
Nature Sense,PHB3,Any,2,
No Bonds Can Hold,DRMZ,Any,2,
Nose for Trouble,PHB3,Any,2,
Obscured Avoidance,PHB3,Any,2,
Ominous Threat,PHB3,Any,2,
Otherworldly Lore,PHB3,Any,2,
Perfect Recall,PHB3,Any,2,
Punitive Radiance,DRMZ,Any,2,
Quick Palm,PHB3,Any,2,
Reward the Obedient,DSCS,Any,2,
Root Understanding,DRMZ,Any,2,
Sandstep,DRMZ,Any,2,
Scion of Stone,DSCS,Any,2,
Scrambling Climb,PHB3,Any,2,
Secrets of the City,DRMZ,Any,2,
Serpent's Tongue,DRMZ,Any,2,
Slave's Sacrifice,DSCS,Any,2,
Slick Negotiator,DSCS,Any,2,
Soothing Words,PHB3,Any,2,
Strategist's Epiphany,PHB3,Any,2,
Studied Casting,DRMZ,Any,2,
Talented Athletics,DRMZ,Any,2,
Veiled Arcana,DSCS,Any,2,
Wilder's Armor,DSCS,Any,2,
Argent Falcon,DRMZ,Any,6,
Bewitching Glare,DRMZ,Any,6,
Bloodborn Menace,DSCS,Any,6,
Censure the Unholy,PHB3,Any,6,
City Dweller,PHB3,Any,6,
Concealed Shift,PHB3,Any,6,
Confusing Blather,PHB3,Any,6,
Delay Poison,PHB3,Any,6,
Deliverance of Faith,DRMZ,Any,6,
Deft Avoidance,DSCS,Any,6,
Demoralize Foe,PHB3,Any,6,
Dirty Tricks,PHB3,Any,6,
Dodge Step,PHB3,Any,6,
Dune Dancer,DSCS,Any,6,
Empathic Read,PHB3,Any,6,
Enforced Competence,DSCS,Any,6,
Envenomed Weapon,DSCS,Any,6,
Everybody Move,PHB3,Any,6,
Experienced Arcana,PHB3,Any,6,
Eyes of the Deep Delver,PHB3,Any,6,
Fast Talk,PHB3,Any,6,
Graceful Maneuver,PHB3,Any,6,
Guided Shot,PHB3,Any,6,
Haggle,PHB3,Any,6,
Hasty Retreat,PHB3,Any,6,
Historical Revelation,PHB3,Any,6,
Insightful Counter,PHB3,Any,6,
Insightful Warning,PHB3,Any,6,
Internal Reserves,DRMZ,Any,6,
Kord's Force,DRMZ,Any,6,
Lifting Winds,DSCS,Any,6,
Mantle of Might,DSCS,Any,6,
Memory is a Weapon,DRMZ,Any,6,
Mighty Sprint,PHB3,Any,6,
Natural Terrain Understanding,DRMZ,Any,6,
Path of the Bounding Stag,PHB3,Any,6,
Perfect Balance,PHB3,Any,6,
Physician's Care,PHB3,Any,6,
Practiced Rider,PHB3,Any,6,
Prescient Maneuver,PHB3,Any,6,
Quick Switch,PHB3,Any,6,
Retrieving Elemental,DSCS,Any,6,
Shrouding Gloom,PHB3,Any,6,
Slow Pursuit,PHB3,Any,6,
Stirring Speech,PHB3,Any,6,
Stolen Defense,PHB3,Any,6,
Stonecunning,PHB3,Any,6,
Sudden Leap,PHB3,Any,6,
Swift Recovery,PHB3,Any,6,
Theologian's Shield,PHB3,Any,6,
Third Wind,PHB3,Any,6,
Trapfinding,PHB3,Any,6,
Try the Stick,PHB3,Any,6,
Tumbling Dodge,PHB3,Any,6,
Veiled Escape,DSCS,Any,6,
Walk It Off,PHB3,Any,6,
Warning of Peril,PHB3,Any,6,
Wary Defense,DRMZ,Any,6,
Warp in the Weave,DRMZ,Any,6,
Wild Repulsion,DSCS,Any,6,
Drag Behind,DSCS,Any,7,
Gouge Press,DSCS,Any,7,
Gythka Parry,DSCS,Any,7,
Lotulis Parry,DSCS,Any,7,
Net Shield,DSCS,Any,7,
Warding Talon,DSCS,Any,7,
Whip Crack,DSCS,Any,7,
Destructive Power,DRMZ,Any,8,
Expolsive Power,DRMZ,Any,8,
Forceful Power,DRMZ,Any,8,
Seeking Power,DRMZ,Any,8,
Shade Stride,DRMZ,Any,8,
Thief's Getaway,DRMZ,Any,8,
Thug's Menace,DRMZ,Any,8,
Zadatl Expert,DRMZ,Any,8,
Arcane Instincts,DRMZ,Any,10,
Assurance of Prophecy,DRMZ,Any,10,
Balm of the Guardian,DSCS,Any,10,
Befriend,PHB3,Any,10,
Berate the Weak,DSCS,Any,10,
Command Decision,DSCS,Any,10,
Conviction,PHB3,Any,10,
Crowd Cover,PHB3,Any,10,
Cry for Mercy,PHB3,Any,10,
Disruptive Stunt,PHB3,Any,10,
Drop and Roll,PHB3,Any,10,
Elemental Boon,DSCS,Any,10,
Focused Sight,PHB3,Any,10,
Framing Assassin,DSCS,Any,10,
Improvisational Arcana,PHB3,Any,10,
Incredible Stride,PHB3,Any,10,
Insightful Comment,PHB3,Any,10,
Lessons of History,DRMZ,Any,10,
Lone Nomad,DSCS,Any,10,
Navigate Crowds,PHB3,Any,10,
Noble Sacrifice,PHB3,Any,10,
Opportune Distraction,DRMZ,Any,10,
Penetrating Power,DRMZ,Any,10,
Perceive Weakness,DSCS,Any,10,
Perfect Sight,PHB3,Any,10,
Persistent Tail,PHB3,Any,10,
Prescient Defense,PHB3,Any,10,
Psionic Sustenance,DSCS,Any,10,
Psychic Feedback,DSCS,Any,10,
Rapid Escape,PHB3,Any,10,
Reactive Surge,PHB3,Any,10,
Recitation,PHB3,Any,10,
Righteous Savior,DRMZ,Any,10,
Sensory Absorption,DSCS,Any,10,
Snap Out of It,PHB3,Any,10,
Spider Dodge,DRMZ,Any,10,
Spot the Path,PHB3,Any,10,
Spot Weakness,PHB3,Any,10,
Stall Tactics,PHB3,Any,10,
Steeled Against It,DRMZ,Any,10,
Strength Against Strength,DRMZ,Any,10,
Tactician's Measure,PHB3,Any,10,
Time Out,PHB3,Any,10,
Trap Sense,PHB3,Any,10,
