Weapon,Book,Group1,Group2,Proficiency Bonus,Dice,Dam,Short Range,Long Range,Property1,Property2,Category,Hands,Melee,Ranged,,,,,,,,,,,,,,,,,
Alhulak,DSCS,Flail,,3,1,8,,,Versatile,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Bastard Sword,PHB,Heavy blade,,3,1,10,,,Versatile,,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Battleaxe,PHB,Axe,,2,1,10,,,Versatile,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Blade of Annihilation,HFK,Heavy blade,,2,1,12,,,,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Blade of Winter's Mourning,HFK,Light blade,,3,1,10,,,,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Blowgun,DRMZ,Blowgun,,2,1,4,5,10,Load Minor,Small,Superior Ranged,2,FALSE,1,,,,,,,,,,,,,,,,,
Bola,DRMZ,Flail,,3,1,4,4,8,Light thrown,,Superior Ranged,1,FALSE,1,,,,,,,,,,,,,,,,,
Broadsword,AV,Heavy blade,,2,1,10,,,Versatile,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Cahulaks,DSCS,Flail,,2,1,8,3,6,Heavy thrown,Reach,Military Melee,2,TRUE,2,,,,,,,,,,,,,,,,,
Carrikal,DSCS,Axe,,2,1,8,,,Brutal 2,,Military Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Chatkcha,DSCS,Light blade,,2,1,6,6,12,Light thrown,,Military Ranged,1,FALSE,1,,,,,,,,,,,,,,,,,
Club,PHB,Mace,,2,1,6,,,,,Simple Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Craghammer,AV,Hammer,#REF!,2,1,10,,,Brutal 2,Versatile,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Crossbow,PHB,Crossbow,,2,1,8,15,30,Load minor,,Simple Ranged,2,FALSE,1,,,,,,,,,,,,,,,,,
Cutting Wheel,EPG,Light blade,,2,1,6,,,Defensive,Off-hand,Superior Melee,1,TRUE,0,,,,,,,,,,,,,,,,,
Dagger,PHB,Light blade,,3,1,4,5,10,Off-hand,Light thrown,Simple Melee,1,TRUE,1,,,,,,,,,,,,,,,,,
Dejada,DSCS,Sling,,2,1,8,10,20,Load free,,Simple Ranged,1,FALSE,1,,,,,,,,,,,,,,,,,
Double Axe,AV,Axe,,2,1,10,,,Defensive,Off-hand,Superior Melee,2,TRUE,0,,,,,,,,,,,,,,,,,
